,review,review_en
26,好不错，就是没什么味道？？？？？？？,"Okay, is that no taste? ? ? ? ? ? ?"
27,真差，味真重，臭死了，差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差差,"Really bad, really heavy taste, stinks dead, stupid difference, stinky"
28,很好，女朋友喜欢,"Well, girlfriend likes it"
29,一般吧。还是周黑鸭好吃,so so. Black duck or delicious week
30,不错，挺好，快递也快，都吃了挺好吃，日期都是新的,"Good, very good, express delivery is fast, eat delicious, the date is new"
31,还好，凑单买的，方便便宜,"Fortunately, buy together, convenient and cheap"
32,狗就喜欢吃这些东西，看到了就很兴奋。,"Dogs like to eat these things, I saw very excited."
33,明明要5个，缺货就拿这个填充，过分,"Obviously to 5, out of stock to take this fill, too much"
34,货物已收到，外箱没有封口，而且里面的这个货袋子也没封口，我真不知道你们怎么包的装，朋友推荐我去买南极人了，而我还是买了彩虹，今明两天我在试一下用起来怎么样，如果不行，我就退货。看到这个货给我的印象不是新的。,"The goods have been received, the outer box is not sealed, and the inside of the goods bag is not sealed, I really do not know how you pack the equipment, my friend recommended me to buy the Antarctic people, and I still bought a rainbow, today and tomorrow I Try it out for use, if not, I will return it. The impression that I have seen on this shipment is not new."
35,还可以啊孩子挺爱吃的。,It's okay
36,好吃，,"good to eat,"
37,摸起来不错!,Feel good!
38,邮寄时间长 坏了好几个,How long have you been shipping mail?
39,包装好小巧，也是我喜欢的类型，与同学一起分享，甜蜜。,"Packed compact, but also my favorite type, share with classmates, sweet."
40,感觉落寞门可罗雀,Feel lonely door
41,慢死了，好烦他们。,"Slow, so annoying them."
42,不好不好不好不好不好不好不好不好不好不好,Poor Good Good Poor Good Poor Poor Poor Poor Good Poor Good Poor
43,这个猫粮我不满意。 气味比较刺激，猫也不太喜欢吃。换用这种粮以后，两位大人都有点拉肚子，有不消化的嫌疑。,"I am not satisfied with this cat food Smell more exciting, cats do not like to eat. After changing to this kind of grain, both adults have a little diarrhea, there is indifference of suspicion."
44,荣耀**号内内容。到浏￥览器中￥打开领取，给五星好评！1.物流非常给力双11期间买的，晚上零晨下单第二天早上就到公司了！神速！ 2.首先从外观说:工艺精湛，一看就喜欢，手感特别好，很轻！适合亚洲人的手握尺寸，机身材料不像iphone那种滑手的感觉，只是手出汗会有点指纹印在上面，不过不是太严重，轻轻擦一下就干净，可以接受！ 3.开机后给我的感觉特别好，画面清晰细腻，色彩饱和度很高！冲着这个价格的手机这里就可以给五星，良心企业！ 4.这点是用了几天后才来评价的，第一小点:指纹识别传感器非常快，比我之前用的所有手机都快，神一样的速度！给五星！第二小点:电池，我们关心的续航能力一点不马虎，充满电正常工作使用微信、微博、打电话、邮箱等能用一天约17-18小时吧！正常晚上睡觉前充电就可以，白天尽情使用！不算最好，但能接受！第三小点:华为应用市场下载软件非常安全，这点是企业对消费者的负责行为，没有多余的插件！给五星！第四小点：要赞一个华为荣耀9自带的手机软件，流畅简约，应用便捷，个人用了几天下来感觉比ios更人性化，更懂主人的使用习惯！谈到这里有点个人的,"Glory ** number content. To browse ¥ browser open in order to receive, to five-star praise! 1. Logistics is very awesome to buy double 11 during the morning and order at dawn the next morning to the company! Speedy! 2. First of all from the appearance that: exquisite workmanship, a look like, feel very good, very light! Suitable for Asian hand size, fuselage material is not like iphone that kind of slider feeling, just hand sweat will be a little fingerprints printed on top, but not too serious, gently wipe it clean, acceptable! 3. Boot feeling very good to me, the picture is clear and delicate, high color saturation! Directed at the price of mobile phones here can give five-star, conscience business! 4. This is a few days later to evaluate, the first little: fingerprint sensor is very fast, faster than all the phones I used before, God the same speed! Give five-star! The second spot: the battery, we care about the battery life a bit not sloppy, fully charged normal use WeChat, microblogging, phone, email, etc. can use about 17-18 hours a day! Normal night before bed can be charged, enjoy the use of daytime! Not the best, but can accept! The third spot: Huawei application market Download software is very safe, this is the business responsible for the consumer behavior, there is no extra plug-ins! Give five-star! Fourth dot: you want to like a HUAWEI glory 9 comes with the phone software, smooth and simple, easy to use, the individual spent a few days feeling more humane than the ios, and better understand the owner's habits! Talking about here a bit personal"
45,还没用，不知道怎么样。回来上边的稍微有点扁不知道会不会影响,"Not used, do not know how. Back to the top a little bit flat do not know will not affect"
46,抱着试试看买的这款手机，收到货后真是惊呆了，比想象的好很多，无论是客服还是快递都非常满意，下次还会来的。京东的商品就是好。,"Hold Trying to buy this phone, after receiving the goods really shocked, much better than expected, whether customer service or express delivery are very satisfied, the next will come. Jingdong's product is good."
47,挺好的，划算。,"Very good, cost-effective."
48,还可以，但到货包装很烂了，都开了，里面是散装的用塑料袋包的。,"It's okay, but the packaging is poorly packed and it's open. There's a plastic bag in bulk."
49,很好，正品，已经第二次购买了，下次继续购,"Very good, genuine, has a second purchase, the next to continue to buy"
50,没有之前的货好了。。。。。。,No good goods before. . . . . .
51,物流快，东西包装很好，应该是真品，好评,"Fast logistics, packaging things well, it should be genuine, praise"
52,糖收到，味道正宗，就是保装太差，就连最简单的超市塑料袋3个都是坏的，还没有保质期。,"Sugar received, the taste is authentic, is poor protection, even the simplest supermarket plastic bags 3 are bad, there is no shelf life."
53,还不错哦，第三次购买哦好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,"Not bad oh, the third time buy oh well good well good well good well good well good good good well good good good good good good good good good good good good good good good good good good good good good Good Good Good Good Good Good Well Good Well Good Well Well Well Well Well Well Well Well Well Well Well Well Well Well Well Well Well"
54,一盒就7个，味道还可以,"A box of 7, the taste is OK"
55,跟我想想中的一样，好好吃，味道杠杠的。特辣，特爽，决定下次在继续购买，,"As I think about it, it tastes good and has a good taste. Special hot, special cool, decided to continue buying next time,"
56,不好，冰袋化了，买的时候天还不冷，打开肉都不新鲜了，做生鲜食品这样的保鲜水准太不靠谱了。第一次京东购物一颗星。,"Not good, ice bag, bought when the day is not cold, open the meat is not fresh, so fresh food so fresh standard too fly. The first Jingdong shopping a star."
57,发货快，价格合理，好吃。看起来是正品。,"Fast delivery, the price is reasonable, delicious. Looks genuine."
58,价格提高后再打折,After the price increase discount
59,发货快，日期新鲜,"Fast delivery, fresh date"
60,收到的罐头全部都挤压变形很严重！！有三罐被挤开封口了，洒了很多出来！包装太差，都不会固定一下，不会再来买了！,"All canned crushed received deformation is very serious! ! Three cans have been squeezed open, and spilled a lot! Poor packaging, will not be fixed, will not buy it again!"
61,好好好好好好,Good and well
62,和超市买的味道一样,And the supermarket to buy the same taste
63,凑单买的，还好，还好！,"A single buy, okay, okay!"
64,快递很快，隔天就到了。收到后很惊喜，日期也新鲜，但是蒸熟后掰开来里面都是黑色的东西，没有黄，失望,"Express soon, arrived the next day. After receiving a very pleasant surprise, the date is fresh, but after steamed broke apart which is black, no yellow, disappointed"
65,这个牌子的月饼太差劲了，一点也不好吃，而且物流也是很慢，以后不会再买了。,"This brand of moon cake too bad, not good at all, and the logistics is very slow, will not be bought later."
66,品质很好，送货速度很快,"Good quality, fast delivery"
67,很好很好很好,Very good Very good
68,太差了，说了小心露气的，结果还是弄了个漏气的，都断了，太无语了，再不会买了,"Too bad, and said carefully gas, the result is still got a leak, all broken, too speechless, will not buy"
69,挺好喝的，但是有冲不开的，不知道是什么？玫瑰花吗？,"Very good to drink, but there is not open, do not know what? Rose?"
70,出差回来就迫不及待的打开了，颜值是相当的高。开机以后感觉真心不错。物有所值。值得购买。屏幕显示相当的好。,"Can not wait to open the back of the business trip, Yan value is quite high. Feel really good after boot. Value for money. worth buying. The screen shows pretty good."
71,标注净含量4KG称了一下3.9KG，为什么少了二两，谁能给我解释一下，欺骗消费者吗？狗粮还可以，狗狗挺爱吃的。,"Mark the net content of 4KG said a bit about 3.9KG, why two or two, who can explain to me, to deceive consumers? Dog food is OK, the dog is very loving."
72,不错，挺新鲜的,"Nice, very fresh"
73,东西不错，主要是媳妇喜欢就好，东西情人节及时赶到，没白瞎我加的顺风钱。,"Things are good, like the daughter-in-law is like something, Valentine's Day arrived in time, no blind I added the wind money."
74,烤馍片味道不错，香脆美味，好吃。口味多样化。米多奇，您的唯一 ！ (￣～￣),"Baked slices taste good, crispy delicious, delicious. Diversified tastes. Midoqi, your only! (~ ~ ~)"
75,还可以,is acceptable
76,怎么化了，全黏在一起，不过味道不错。量少了。,"How come, all stick together, but taste good. Less"
77,收到货之后还有两天就到保质期了，差评差评,"There are still two days after the receipt of the goods to the shelf life, bad review bad review"
78,物流太慢了，冰都融化了，不知道还能不能吃,"Logistics is too slow, the ice melted, do not know can not eat"
79,赠品不错？,Good gifts?
80,难吃的要死，这是我买过最难吃的汤圆，都不想评价,"Too bad to die, this is the most unruly rice dumpling I bought, do not want to comment"
81,东西是挺好，这次包装给压力，太影响心情,"Things are good, this time to the pressure of packaging, too affect mood"
82,狗狗很喜欢吃,Dogs like to eat
83,口感很细腻，甜度适中，大爱。吃完还会回购。不过收到货好多都化了，希望下次在箱子里放冰袋,"Very delicate taste, sweetness, love. Eat will repurchase. However, received a lot of goods have changed, I hope the next in the box to put the ice bag"
84,海参看上去没有图片上的大，分量刚好2小碗，有点少。还是挺好喝的。,"Sea cucumber does not look large on the picture, the weight just 2 small bowl, a little less. Still quite good to drink."
85,服务很烂,Bad service
86,京东超市专供品，应该是正品吧，用来做蛋挞的专用原料，感觉还不错！,"Jingdong supermarkets for products, it should be genuine, used to make egg tarts for the special raw materials, I feel pretty good!"
87,吃着味道挺好，有优惠就更完美了,"It tastes good, the offers are more perfect"
88,好多都撞坏了,A lot of crashes
89,货品没问题～快递包装略简单了些～,No problem goods ~ Express packaging a bit simpler ~
90,挺好,very good
91,好吃，价格实惠，不错！,"Delicious, affordable, not bad!"
92,好吃 就是这个味道,Delicious is this taste
93,感觉没有比瑞吉奶糕好，只是这次买没有小包装的奶糕。买的这个俱乐部的。只能相信上边的配方是真实的。因为一直吃比瑞吉的。感觉这种的稍差,"I feel no better than the St. Regis milk cake, but this time there is no small package to buy milk cake. Buy this club. Can only believe that the above formula is real. Because I've been eating more than St. Regis. Feel this kind of slightly worse"
94,猫咪很喜欢吃，所以又下单了。,"Cats like to eat, so they ordered again."
95,我要的5个羊肉，2个蔬菜，3个牛肉，来了5个牛肉，4个羊肉一个蔬菜，我要的发票也没有,"I want five lambs, two vegetables, three beef, five beef, four lambs and one vegetable, and I have no invoice"
96,还行 没有失望 闪闪的很亮眼,OK no disappointment sparkling very bright
97,送货慢，几天才到，密封包装，收到都是死的，个头小，还好死不久，未臭，能吃，第一次在京东给差评,"Delivery is slow, a few days before, sealed packaging, received are dead, small, but fortunately died soon, not stinky, to eat, for the first time in Jingdong to give negative feedback"
98,没有耳机，没一点细节。一个膜都贴不好，手机充电很烫最好不要一边玩一边充电。性能就不说了一分钱一分货。细节做的不够好,"No headphones, no detail. A film is not good, the phone is hot charging best not to play while charging. Performance does not say a penny. Details are not good enough"
99,我的人都有一个人的时候我就不想再去看了一个人的时候我就不想再去看了,"When I have a person, I do not want to see someone again. I do not want to go anymore."
100,凑合。就是太贵。 刚买就降价了&hellip;,improvise. It is too expensive. Just bought a price cut & hellip;
101,手机还不错，还送了手机套和钢化膜，且还有优惠价喔！,"Phone is not bad, but also sent a phone sets and tempered film, and there are discounts Oh!"
102,买了很多次了很好,Bought many times very well
103,京东自营食品，配送及时，快递员服务非常好，品质食用后再评价。,"Jingdong own food, timely delivery, courier service is very good, quality evaluation after consumption."
104,箱子烂掉了，但果子还行,"The box is rotten, but the fruit is ok"
105,先买一罐试试看咋样，这个让我想起了那个菠萝罐头,"First try to buy a pot of Zeyang, this reminds me of the canned pineapple"
106,非常好，非常好，物流超快，赞,"Very good, very good, fast logistics, like"
107,物流快，保质期见图，又是买巧克力的时候了。,"Fast logistics, shelf life see the picture, but also buy chocolate time."
108,送货很快，看起来不错，还没开吃，等吃完尝完味道再来评价,"Delivery soon, looks good, not to eat, wait for the finish taste again after evaluation"
109,收到就打开看，很新鲜，还没吃，看着应该味到不错。,"Received to open to see, very fresh, not eaten, watching should taste good."
110,第二次购买了。干净不咸，特别好吃，发货快。,"Second purchase. Clean and not salty, especially delicious, fast delivery."
111,多次购买了，都买原味的，很喜欢，还会再来的。,"Many times to buy, buy the original taste, like it, will come again."
112,今天吃了，很好吃的！不软不硬，味道不错，谢谢了！☺,"Eat today, very delicious! Not soft not hard, good taste, thank you! ☺"
113,看上去还行吧。但愿不被坑。,Looks okay. I hope not pit.
114,好看好好好好好好,Looks good and well
115,很香的耶味好吃，物流也快，就是放蓝店取有点远，希望下次购物可以送到家。,"Yummy delicious yummy, fast logistics, is to take a bit far from the blue store, I hope the next shopping can be sent home."
116,物流有点慢！而且外包装压的不成样！生怕把里面也压坏了！辛好没有！,Logistics is a bit slow! And packaging pressure is not the same! I'm afraid it is also crushed inside! Xin good no!
117,奶片好好吃下次再来,Milk tablets eat well again next time
118,屏幕很合适，反应很快，一分钱一分货啊这个一点不假，就是物流还是没有京东的物流快，不过也可以了，摄像真不错，好家伙,"The screen is suitable, responsive, penny goods ah This one is not false, that is, logistics or Jingdong fast logistics, but it is OK, camera really good, good guy"
119,很好，很不错,"Very good, very good"
120,还好，感觉还可以。。。。。,"Fortunately, feeling okay. . . . ."
121,橡皮糖好吃，弹性好。,"Gummy delicious, good elasticity."
122,也许是个人喜好，这手机给我感觉就是在用了一个半智能手机，不支持【动态壁纸的】没有耳机插孔，美化不了手机的桌面，随着时世科技的转变，应该越来越添增多功能的，这系统连动态壁纸功能都改掉了，还有包装太简陋了手机来就容易摔坏的，居然用一个薄的泡沫袋装的，我打开拿出来一看盒子的角都变形了，运的速度可以，就是包装极度不好，不够安全,"Perhaps personal preferences, this phone gives me the feeling is using a semi-smart phone, does not support [Live Wallpaper] No headphone jack, landscaping mobile phone desktop, with the change of world science and technology, it should be more and more Increased functionality, the system even lost the function of the dynamic wallpaper, as well as the packaging is too simple phone to break easily, actually with a thin bubble bag, I opened it out to see the angle of the box are deformed Well, the speed of transport can be extremely bad packaging, not safe enough"
123,很不错，很好，物流很给力，是正品，谢谢,"Very good, very good, logistics is to force, is genuine, thank you"
124,味道还行,Taste okay
125,味道很好，口感非常细腻，很喜欢。,"Taste good, very delicate taste, like it."
126,不满意,Not satisfied
127,还可以，挺好吃,It's okay
128,融化了&hellip;感觉放久了，而且是暴晒的仓库&hellip;&hellip;,"Melted & feeling long put, but also exposure of the warehouse & hellip; & hellip;"
129,商品很不错，我挺喜欢的,"The product is good, I really like it"
130,味道还可以，冷链运输，方便省力,"Taste can also be cold chain transport, convenient and effort"
131,这个口味我家圣上喜欢吃的～赞赞赞,This taste I like to eat in the holy home like ~ praise like
132,包装喜庆漂亮，口味纯正，再次购买,"Festive packaging beautiful, pure taste, buy again"
133,猫主子很爱吃，一直都买，就是赠品太少,"Cat owners love to eat, always buy, that is too few gifts"
134,量大够猫咪吃好久的了,Enough cats to eat for a long time
135,哎,Hey
136,好象没什么用,Seems useless
137,我要干邑的酒心，但寄给我的是威士忌的，还好味道还不错。,"I want to drink cognac wine, but sent me a whiskey, but fortunately taste good."
138,以前从同事那里吃过，很好吃，于是买了几盒，但是到货有点儿失望，盒子里面都是碎末，看着就没那么好了，吃着味道也一般吧，没有想象中好吃。,"I used to eat from my colleagues, it was delicious, so I bought a few boxes, but the arrival of a little disappointed, the box is broken, look not so good, eat the taste is also normal, not imagined eat."
139,还好,Okay
140,一般般，有点硬,"In general, a bit hard"
141,很好吃，味道很不错。,"Very tasty, taste good."
142,送给喜欢女孩的七夕礼物，我想她会喜欢,"Gave like the girl's Tanabata gift, I think she would like"
143,鸭蛋个头有些小，不过味道不错，蛋白够厂厂咸，蛋黄也有油，挺不错。,"Ducks some small head, but good taste, enough protein plant salty, egg yolk also have oil, very good."
144,好吃不贵，老品牌，吃粗粮对肠胃好！推荐购买！,"Not expensive, old brand, eat coarse grains on the stomach good! Recommended to buy!"
145,口感比较香脆，不过确实有点油腻。总体来说，分量比较少，一半是空气。味道可以吃出海苔的咸鲜，也有膨化油炸的油腻感，我个人吃3片就感觉有点油了。大家可以尝尝鲜，但不要囤货。,"More crisp taste, but it is a bit greasy. In general, the weight is less, half is air. Taste can eat salty seaweed, but also puffed fried greasy feeling, I personally feel 3 to feel a little oil. We can try fresh, but do not stockpile."
146,买給老婆用的手机，还可以吧，性价比高！,"Buy a cell phone for his wife, you can also, cost-effective!"
147,好吃~幸福感满满的~京东是吃货的天堂~~,Delicious ~ full of happiness ~ Jingdong is the paradise to eat goods ~ ~
148,一开始还吃两口，后面猫猫就不要吃了，好像加了面粉,"At the beginning also eat two, behind the cats do not eat, as if added flour"
149,可以！！！！！！！,can! ! ! ! ! ! !
150,包装完整，是女儿超喜欢超喜欢的口味，看起来还不错哦，就是物流稍稍有点慢。,"Packaging is complete, is the daughter over like super taste, looks pretty good, logistics is a little bit slow."
151,照相不错，不亏旗舰级摄像头。双摄不行，双摄的虚化就跟后加模糊效果一样，而且经常一半虚化一半清晰，看着很傻。系统流畅，当然我只是拿来当备用机的什么也没装还删了不少多余的软件。屏幕效果还行。触控有问题，有时候点亮屏幕后上滑不动，拿起来才可以，昨天调屏幕亮度，滑了半天就是不动，使劲也不行。希望后续系统更新能修复,"Good camera, no loss of flagship camera. Double photo not work, blur with double after the same blur effect after adding the same, but often half of the virtual half clear, looking silly. The system is fluent, of course, I just used when the backup machine did not install any deleted or deleted a lot of extra software. Screen effect okay. Touch a problem, and sometimes lit up the screen slide up, pick up before they can, yesterday adjust the screen brightness, slide for a long time is not moving, hard not work. Hope that the follow-up system updates can be repaired"
152,糖果过期了,Candy expired
153,方家铺子枸杞子，口感很好，接二连三买了二斤，一直要关注下去。京东自营快递小哥给力。,"Fangjia shop wolfberry fruit, good taste, one after another bought two catties, has been going to pay attention. Jingdong self courier brother to force."
154,蚕蛹真心很棒，味道好，非常干净，一个坏的都没有，可比在超市买的好多了。信得过的品质，全家都喜欢。,"Silkworm puppies really good, delicious, very clean, not a bad, much better than in the supermarket. The quality of trust, the whole family likes."
155,蒜的颜色总体不错 只是泡蒜的醋有点儿苦味儿,Garlic color overall good garlic garlic is a bit bitter child
156,小时候姜糖的味道，好评,"Ginger taste of childhood, praise"
157,口味很好。小孩子吵着还要&hellip;,Taste good. Children clamoring but also hellip;
158,有点苦味 没有别的牌子好吃,A little bitter No other brands delicious
159,加上运费，挺不划算的，做冰淇淋还行,"Plus shipping, it is not worthwhile, so ice cream okay"
160,应当是过期了，猫咪都不吃，扔掉了,"Should be out of date, the cats do not eat, throw away"
161,没有给我开发票,Did not give me invoice
162,很不错的商品，非常好,"Very good product, very good"
163,不赖啊呵呵哈哈，嘻嘻，,"Not bad ah ha ha ha ha, hee hee,"
164,全化光了，唉,"Fully evaporated, alas"
165,很甜，很甜，味道不错，比一般薯类好吃，宝宝爱吃极了！,"Very sweet, sweet, good taste, delicious than the average potato, the baby love it!"
166,挺好哒&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;,Very good da & hell; & hellip; & hellip; & hellip;
167,两层纸盒包装仍没抗住冲击，一盒狗粮内容已流出，原包装纸盒湿了一个角。,Two layers of carton packaging still did not resist the impact of a pack of dog food content has been out of the original packaging carton wet corner.
168,一块钱拍的很划算,A dollar shot is very cost-effective
169,性价比高 值得推荐 客服服务不错,High value for money recommended customer service good
170,看这还行,Look at this okay
171,小狗最喜欢吃这个了,Puppies like to eat this
172,还不错哦 用泡沫箱+冰袋,Not bad oh foam box + ice bag
173,可以，非常满意,"Yes, very satisfied"
174,快递那是相当的不给力，东西还行，就是快递。,"Express that is not to force, things okay, that is, courier."
175,它们是吃得饱睡的着，猫粮很喜欢吃，不错的东西，建议大家喂新猫粮的时候和老猫粮分开装，就能看见比较爱吃哪个了！,"They are full of sleep, cat food like to eat, good things, it is recommended when you feed the new cat food and the old cat food separately installed, you can see which love to eat!"
176,猫挺爱吃，吃一段时间看看再说吧,"Cats love to eat, eat for a while to see it"
177,设计的很好，很有意思的棒棒糖,"Well designed, very interesting lollipops"
178,好了吧！吃,Okay! eat
179,这个口香糖不好吃，感觉很是难吃呀 到底不是大牌子呀。,"This chewing gum is not good, I feel it is unpalatable in the end is not a big name ah."
180,裙带菜收到了，还没品尝，保护得很好。,"Wakame has been received, not tasting, well protected."
181,物流把我的东西弄丢了，差不多一个多月才收到的，希望下次不会了,"Logistics lost my stuff, it took almost a month to receive, I hope the next will not"
182,差评，都化成水了,"Poor assessment, all into the water"
183,给四颗星是因为送过来的时候就一个破箱子，里面么有任何泡沫保护。这点上面没有京东的一贯严谨的风格，略失望！手机本身的做工非常好，2K屏幕不是也不是盖的，尤其是里面自带的2K视频看着很震撼。屏幕由于是2.5D屏，说以自带的贴膜不能贴满，*面也找不到可以完全贴合的钢化膜。手感上单手肯定不好操作，有点宽，我需要的功能都有，NFC，红外，指纹，防抖等。,"The four stars are broken boxes when they are delivered, and have any foam protection inside. Jingdong this point there is no consistent rigorous style, a little disappointed! The phone itself is very good workmanship, 2K screen is not covered, especially inside the 2K video look very shocked. Because the screen is 2.5D screen, that comes with the foil can not be covered, * can not find the surface can be completely fit the tempered film. Feel the hand is certainly not good operation, a bit wide, I need all the features, NFC, infrared, fingerprint, anti-shake and so on."
